s_0001,   6,9,2,y,   6,12,4,b,   6,17,1,y,    6,19,1,y,   6,21,3,b,   9,9,1,y,    9,22,2,b,   12,9,4,b,   12,14,2,y,  12,17,2,b,  12,20,2,y,  12,23,1,b,    1,32,1,b
s_0002,   3,3,1,b,    2,24,2,y,   2,28,1,y,   3,20,2,b,   5,13,2,y,   6,7,1,y,    7,19,2,y,   9,10,1,y,   11,1,4,b,   12,12,3,b,  12,24,2,b,  15,17,4,b,    1,32,1,b
s_0003,   4,20,2,y,   4,23,3,b,   6,20,2,y,   6,24,2,b,   7,22,1,y,   9,18,1,y,   9,21,4,b,   9,26,1,b,   11,20,2,b,  11,24,2,y,  13,20,4,b,  13,25,1,y,    1,32,1,b
s_0004,   2,14,2,y,   4,8,1,y,    5,23,2,b,   7,14,3,b,   8,23,2,y,   9,5,1,y,    10,22,4,b,  12,22,2,b,  13,6,1,b,   15,12,2,y,  16,1,4,b,   16,30,1,y,    1,32,1,b
s_0005,   5,14,4,b,   6,14,1,b,   7,14,1,y,   8,8,3,b,    8,11,2,y,   8,14,4,b,   8,19,2,y,   8,21,4,b,   9,14,1,y,   10,14,3,y,    1,32,1,b
s_0006,   1,16,2,y,   3,14,1,y,   3,21,2,b,   5,16,1,b,   8,14,1,y,   8,17,4,b,   10,18,2,y,  11,14,1,y,  11,21,2,y,  13,15,3,b,  16,14,2,b,  16,19,4,b,    1,32,1,b
s_0007,   1,6,2,y,    1,20,4,b,   3,11,1,y,   4,15,4,b,   5,3,2,y,    7,5,1,y,    8,10,2,b,   10,19,1,y,  13,8,1,b,   14,28,3,b,  15,6,2,y,   15,22,2,b,    1,32,1,b
s_0008,   1,7,2,y,    2,2,1,y,    3,15,1,y,   5,31,2,y,   6,9,4,b,    6,18,3,b,   9,3,1,y,    9,24,2,b,   10,31,1,b,  13,5,2,y,   13,21,4,b,  16,12,2,b,    1,32,1,b
s_0009,   5,16,3,b,   6,12,4,b,   6,19,2,y,   7,10,2,y,   7,21,2,b,   8,12,2,b,   8,20,1,y,   9,14,2,y,   9,19,1,b,   10,15,1,y,  10,18,1,y,  11,15,4,b,    1,32,1,b
s_0010,   2,2,2,y,    3,19,1,y,   3,25,2,b,   3,27,1,y,   6,13,1,b,   8,10,1,y,   9,15,2,y,   10,2,4,b,   10,14,2,y,  10,29,4,b,  11,29,2,b,  12,7,3,b, 1,32,1,b
s_0011,   1,27,1,y,   2,2,1,y,    2,9,3,b,    3,18,2,y,   5,24,2,b,   5,31,2,y,   6,7,1,y,    7,13,4,b,   9,24,2,b,   11,31,1,b,  14,15,4,b,  15,2,2,y, 1,32,1,b
s_0012,   2,2,2,y,    3,4,1,y,    3,19,1,y,   4,5,2,y,    6,13,1,b,   10,7,4,b,   10,15,1,y,  10,29,4,b,  11,6,2,y,   11,29,2,b,  12,7,3,b,   15,16,2,b,    1,32,1,b
s_0013,   1,7,2,y,    2,9,3,b,    4,21,1,b,   5,31,2,y,   6,7,1,y,    6,9,1,y,    8,25,4,b,   9,3,1,y,    9,18,2,b,   9,24,2,b,   10,8,4,b,   12,13,2,y,    1,32,1,b
s_0014,   6,8,2,b,    6,12,4,b,   7,10,2,y,   7,14,1,y,   7,16,1,y,   8,6,4,b,    8,12,2,b,   9,5,2,y,    9,10,1,y,   9,12,2,y,   10,11,1,b,  10,14,3,b,    1,32,1,b
